round_epochs,val_loss,val_f1,val_accuracy,loss,f1,accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,batch_size,model_type
15,0.6079512577965146,0.5978042697906494,0.9829702042397999,0.2203293516927836,0.6680078000438456,0.9929872271965962,False,64,tanh,0.4,1,funnel,15,64,keras_tf_idf_model
15,0.5942979289236523,0.608278927008311,0.9831369000389463,0.33620922510721246,0.5500362784035352,0.9890943817216523,False,128,relu,0.6,1,funnel,15,32,keras_tf_idf_model
5,0.5783438455490839,0.7498241041955493,0.9833035357793172,0.24809485469545636,0.786631493373793,0.9921020203707169,False,128,relu,0.2,1,funnel,5,64,keras_tf_idf_model
5,0.5957960658414023,0.7487748352686564,0.9828154706954956,0.45085504680263755,0.7461408803900894,0.9860612194878714,False,128,tanh,0.6,1,funnel,5,32,keras_tf_idf_model
10,0.5878958733876546,0.4063220960185641,0.9834880658558437,0.48022268767259557,0.4615725469102665,0.9845637441654594,False,128,relu,0.6,1,funnel,10,64,keras_tf_idf_model
15,0.5859437722251529,0.7855058776764643,0.9832380869275048,0.019468192062625775,0.8245806688191939,0.9994540806205905,False,128,relu,0.2,1,funnel,15,32,keras_tf_idf_model
15,0.6204479521229154,0.5819290153185527,0.9829940389451527,0.5465122146509132,0.537983859801779,0.9826096891383735,False,64,tanh,0.6,1,funnel,15,32,keras_tf_idf_model
15,0.6052312135128748,0.3983348492781321,0.9829940143085661,0.374410289598971,0.44803483753788226,0.9878851770868107,False,64,relu,0.4,1,funnel,15,64,keras_tf_idf_model
10,0.6889629394667489,0.5338756246226174,0.9801845069158645,0.9643781317010218,0.38105627143261384,0.9688673222794825,False,64,relu,0.6,1,funnel,10,32,keras_tf_idf_model
5,0.6062152764910743,0.6031686871392387,0.9829761559622628,0.44276445675869375,0.6666789454343368,0.9863928252823498,False,64,relu,0.2,1,funnel,5,64,keras_tf_idf_model
10,0.6074329907553536,0.3710918150629316,0.9831963971682958,0.4840235103879656,0.43932341278815756,0.9846938467998894,False,64,relu,0.4,1,funnel,10,64,keras_tf_idf_model
15,0.5883213827723549,0.6637440114929563,0.9833273478916713,0.25481373993717893,0.6887345151025421,0.9919872277123587,False,128,tanh,0.6,1,funnel,15,64,keras_tf_idf_model
15,0.7039930357251849,0.5086123052097502,0.9799999866031465,0.8382999370536026,0.3764517208264799,0.9714208973670493,False,64,relu,0.6,1,funnel,15,32,keras_tf_idf_model
10,0.5868882222970326,0.7790225176584153,0.9828869029453823,0.039282197451256974,0.857491718019758,0.9989591813574031,False,128,tanh,0.2,1,funnel,10,32,keras_tf_idf_model
15,0.620550697190421,0.3723552690233503,0.9827678183146885,0.5570960635555033,0.43908075697568,0.9819693552231302,False,64,tanh,0.6,1,funnel,15,64,keras_tf_idf_model
15,0.5845404879252116,0.7527651485942659,0.9830535376639593,0.030207775406235336,0.7921801621573312,0.9992525550297329,False,128,relu,0.2,1,funnel,15,64,keras_tf_idf_model
